iter	Passed	Remaining
459	802	941
460	803	939
461	804	937
462	806	935
463	807	932
464	808	930
465	809	927
466	810	925
467	812	923
468	813	921
469	814	919
470	817	918
471	818	915
472	819	913
473	821	911
474	822	909
475	824	907
476	825	905
477	826	902
478	830	903
479	831	900
480	832	898
481	834	897
482	836	895
483	837	893
484	838	890
485	840	888
486	841	886
487	842	884
488	843	881
489	845	879
490	846	877
491	847	875
492	848	873
493	850	870
494	851	868
495	852	866
496	854	864
497	855	862
498	856	860
499	857	857
500	860	856
501	861	854
502	862	852
503	863	850
504	864	847
505	867	846
506	869	845
507	870	842
508	871	840
509	873	838
510	874	836
511	875	834
512	877	832
513	878	830
514	879	828
515	881	826
516	882	824
517	884	822
518	885	820
519	886	818
520	888	816
521	889	814
522	890	812
523	891	810
524	893	808
525	894	806
526	896	804
527	897	802
528	898	800
529	899	798
530	901	795
531	902	794
532	903	792
533	905	789
534	906	787
535	907	785
536	909	783
537	910	781
538	911	779
539	913	777
540	914	775
541	915	773
542	917	771
543	918	769
544	919	767
545	920	765
546	922	763
547	923	762
548	925	760
549	933	763
550	935	762
551	938	761
552	942	762
553	944	760
554	946	758
555	947	756
556	949	755
557	951	753
558	952	751
559	954	749
560	956	748
561	957	746
562	959	744
563	961	743
564	963	741
565	965	740
566	967	738
567	968	736
568	971	736
569	973	734
570	975	732
571	976	730
572	979	729
573	981	728
574	982	726
575	984	725
576	987	723
577	989	722
578	991	720
579	993	719
580	995	717
581	997	716
582	999	714
583	1001	713
584	1003	711
585	1005	710
586	1006	708
587	1008	706
588	1011	705
589	1013	704
590	1015	702
591	1016	700
592	1018	699
593	1020	697
594	1022	695
595	1024	694
596	1026	692
597	1027	691
598	1030	689
599	1032	688
600	1034	686
601	1036	685
602	1038	683
603	1039	681
604	1041	680
605	1043	678
606	1045	676
607	1047	675
608	1049	673
609	1051	672
610	1053	670
611	1055	669
612	1058	668
613	1060	666
614	1064	666
615	1066	664
616	1071	664
617	1074	664
618	1082	666
619	1085	665
620	1088	664
621	1092	663
622	1094	662
623	1096	660
624	1098	659
625	1100	657
626	1102	655
627	1106	655
628	1121	661
629	1126	661
630	1134	663
631	1136	661
632	1140	661
633	1142	659
634	1144	658
635	1146	656
636	1148	654
637	1150	652
638	1152	651
639	1153	649
640	1155	647
641	1157	645
642	1159	643
643	1160	641
644	1162	639
645	1166	639
646	1168	637
647	1170	635
648	1172	633
649	1173	632
650	1175	630
651	1177	628
652	1178	626
653	1180	624
654	1181	622
655	1183	620
656	1184	618
657	1186	616
658	1187	614
659	1189	612
660	1191	610
661	1192	609
662	1194	607
663	1196	605
664	1198	603
665	1200	601
666	1201	599
667	1202	597
668	1204	596
669	1206	594
670	1208	592
671	1209	590
672	1211	588
673	1213	586
674	1214	584
675	1216	582
676	1217	581
677	1219	579
678	1220	577
679	1222	575
680	1224	573
681	1225	571
682	1227	569
683	1230	568
684	1231	566
685	1234	564
686	1235	563
687	1237	561
688	1239	559
689	1244	559
690	1247	558
691	1251	557
692	1259	557
693	1262	556
694	1264	554
695	1265	552
696	1267	551
697	1269	549
698	1271	547
699	1272	545
700	1274	543
701	1275	541
702	1277	539
703	1278	537
704	1280	535
705	1282	534
706	1284	532
707	1285	530
708	1286	528
709	1289	526
710	1290	524
711	1291	522
712	1293	520
713	1294	518
714	1296	516
715	1297	514
716	1298	512
717	1300	510
718	1301	508
719	1302	506
720	1304	504
721	1305	502
722	1307	501
723	1310	499
724	1311	497
725	1313	495
726	1314	493
727	1316	492
728	1318	490
729	1319	488
730	1321	486
731	1322	484
732	1324	482
733	1326	480
734	1327	478
735	1329	476
736	1331	475
737	1332	473
738	1335	471
739	1337	469
740	1339	468
741	1340	466
742	1342	464
743	1343	462
744	1345	460
745	1348	459
746	1349	457
747	1351	455
748	1352	453
749	1354	451
750	1355	449
751	1357	447
752	1358	445
753	1360	443
754	1361	441
755	1363	440
756	1364	438
757	1366	436
758	1367	434
759	1369	432
760	1370	430
761	1371	428
762	1373	426
763	1375	424
764	1376	422
765	1378	420
766	1379	419
767	1380	417
768	1382	415
769	1384	413
770	1385	411
771	1387	409
772	1389	408
773	1391	406
774	1392	404
775	1393	402
776	1394	400
777	1396	398
778	1397	396
779	1399	394
780	1400	392
781	1402	390
782	1403	389
783	1404	387
784	1406	385
785	1407	383
786	1409	381
787	1410	379
788	1411	377
789	1413	375
790	1414	373
791	1416	371
792	1417	370
793	1420	368
794	1421	366
795	1423	364
796	1424	362
797	1426	360
798	1427	359
799	1429	357
800	1431	355
801	1432	353
802	1434	351
803	1435	349
804	1436	348
805	1438	346
806	1439	344
807	1441	342
808	1442	340
809	1443	338
810	1445	336
811	1446	334
812	1447	333
813	1449	331
814	1450	329
815	1451	327
816	1453	325
817	1454	323
818	1455	321
819	1457	319
820	1458	317
821	1459	316
822	1460	314
823	1462	312
824	1463	310
825	1464	308
826	1466	306
827	1467	304
828	1469	303
829	1470	301
830	1471	299
831	1473	297
832	1474	295
833	1475	293
834	1477	291
835	1478	290
836	1480	288
837	1482	286
838	1484	284
839	1485	282
840	1486	281
841	1488	279
842	1489	277
843	1490	275
844	1492	273
845	1493	271
846	1494	270
847	1496	268
848	1497	266
849	1499	264
850	1500	262
851	1502	260
852	1503	259
853	1504	257
854	1506	255
855	1508	253
856	1509	251
857	1511	250
858	1514	248
859	1515	246
860	1516	244
861	1518	243
862	1519	241
863	1521	239
864	1522	237
865	1524	235
866	1525	234
867	1527	232
868	1528	230
869	1529	228
870	1530	226
871	1532	224
872	1533	223
873	1535	221
874	1536	219
875	1538	217
876	1539	215
877	1540	214
878	1542	212
879	1543	210
880	1545	208
881	1546	206
882	1547	205
883	1549	203
884	1551	201
885	1552	199
886	1553	197
887	1555	196
888	1556	194
889	1558	192
890	1559	190
891	1560	188
892	1562	187
893	1563	185
894	1564	183
895	1566	181
896	1567	179
897	1568	178
898	1570	176
899	1571	174
900	1572	172
901	1574	171
902	1575	169
903	1576	167
904	1578	165
905	1579	163
906	1580	162
907	1583	160
908	1584	158
909	1585	156
910	1586	155
911	1588	153
912	1589	151
913	1591	149
914	1592	147
915	1595	146
916	1596	144
917	1597	142
918	1599	140
919	1600	139
920	1602	137
921	1603	135
922	1604	133
923	1607	132
924	1608	130
925	1609	128
926	1611	126
927	1613	125
928	1614	123
929	1616	121
930	1617	119
931	1619	118
932	1620	116
933	1622	114
934	1623	112
935	1624	111
936	1626	109
937	1627	107
938	1628	105
939	1629	104
940	1631	102
941	1632	100
942	1633	98
943	1634	96
944	1636	95
945	1637	93
946	1639	91
947	1640	89
948	1641	88
949	1643	86
950	1644	84
951	1645	82
952	1646	81
953	1648	79
954	1650	77
955	1652	76
956	1653	74
957	1654	72
958	1657	70
959	1659	69
960	1660	67
961	1663	65
962	1665	63
963	1666	62
964	1667	60
965	1669	58
966	1670	57
967	1671	55
968	1672	53
969	1673	51
970	1675	50
971	1676	48
972	1677	46
973	1679	44
974	1680	43
975	1681	41
976	1683	39
977	1684	37
978	1686	36
979	1687	34
980	1689	32
981	1690	30
982	1691	29
983	1694	27
984	1695	25
985	1697	24
986	1698	22
987	1699	20
988	1701	18
989	1702	17
990	1703	15
991	1705	13
992	1706	12
993	1708	10
994	1709	8
995	1710	6
996	1713	5
997	1714	3
998	1715	1
999	1716	0
